,Unnamed: 0,app_id,amnt,currency,operation_kind,card_type,operation_type,operation_type_group,ecommerce_flag,payment_system,income_flag,mcc,country,city,mcc_category,day_of_week,hour,days_before,weekofyear,hour_diff,transaction_number,product,flag
19,19,0,0.495195274200407,1,2,98,3,1,1,6,1,2,1,2,2,4,13,288,20,162,20,3,0
20,20,0,0.4779440811646806,1,4,5,4,2,1,3,2,2,1,49,2,4,13,288,20,0,21,3,0
21,21,0,0.3876771200456198,1,4,5,4,2,1,3,2,2,1,49,2,4,13,288,20,0,22,3,0
22,22,0,0.3876771200456198,1,3,98,10,1,1,1,2,11,1,1,8,5,19,282,36,150,23,3,0
23,23,0,0.3876771200456198,1,2,98,3,1,1,6,1,2,1,2,2,5,19,282,36,0,24,3,0
24,24,0,0.5077150771654654,1,3,98,10,1,1,1,2,11,1,1,8,4,13,281,36,18,25,3,0
25,25,0,0.4610518446969708,1,2,98,3,1,1,6,1,2,1,2,2,5,16,275,32,147,26,3,0
26,26,0,0.4707723832044416,1,2,98,3,1,1,6,1,2,1,2,2,5,16,275,32,0,27,3,0
27,27,0,0.3635343908570652,1,1,5,2,1,1,2,1,99,1,49,7,6,9,269,33,137,28,3,0
28,28,0,0.4313777206339785,1,1,5,2,1,1,2,1,99,1,49,7,6,10,269,33,0,29,3,0
29,29,0,0.365457709420587,1,1,5,2,1,1,2,1,10,1,49,7,6,11,269,33,1,30,3,0
30,30,0,0.4059783091169815,1,1,5,2,1,1,2,1,1,1,49,1,6,12,269,33,1,31,3,0
31,31,0,0.3868298886708248,1,1,5,2,1,1,2,1,10,1,49,7,4,16,260,28,220,32,3,0
32,32,0,0.3255794443109327,1,3,98,5,1,1,6,1,9,1,1,2,1,8,258,28,40,33,3,0
33,33,0,0.4891003533794191,1,2,98,3,1,1,6,1,2,1,2,2,1,19,258,28,11,34,3,0
34,34,0,0.53768179268315,1,2,5,3,1,1,6,1,2,1,2,2,1,20,258,28,0,35,3,0
35,35,0,0.4104106563047363,1,2,98,3,1,1,6,1,2,1,2,2,7,18,242,18,382,36,3,0
36,36,0,0.4843021925677949,1,2,98,3,1,1,6,1,2,1,2,2,5,10,240,43,40,37,3,0
37,37,0,0.2589723745861205,1,2,5,3,1,1,6,1,2,1,2,2,6,12,234,8,146,38,3,0
38,38,0,0.2589723745861205,1,2,98,3,1,1,6,1,2,1,2,2,1,18,230,8,102,39,3,0
39,39,0,0.4872300288689087,1,2,98,3,1,1,6,1,2,1,2,2,1,18,230,8,0,40,3,0
40,40,0,0.4633976875908865,1,1,5,2,1,1,2,1,35,1,49,9,2,15,229,8,21,41,3,0
41,41,0,0.3158482457115734,1,1,5,2,1,1,2,1,1,1,49,1,4,10,225,19,91,42,3,0
42,42,0,0.5336722387311107,1,2,98,3,1,1,6,1,2,1,2,2,1,15,209,44,389,43,3,0
43,43,0,0.488172983204992,1,2,98,3,1,1,6,1,2,1,2,2,5,11,205,21,93,44,3,0
44,44,0,0.5278527969505721,1,1,98,9,1,2,6,1,53,1,1,21,5,13,205,21,2,45,3,0
45,45,0,0.5245289488226674,1,1,98,1,1,2,1,1,53,1,1,21,5,14,205,21,1,46,3,0
46,46,0,0.6082521736581289,1,2,98,3,1,1,6,1,2,1,2,2,4,10,204,21,20,47,3,0
47,47,0,0.4265442702066148,1,2,98,7,1,1,1,1,2,1,49,2,2,11,201,21,73,48,3,0
48,48,0,0.4511265085038055,1,2,98,3,1,1,6,1,2,1,2,2,6,14,199,4,51,49,3,0
49,49,0,0.469482648376849,1,2,98,3,1,1,6,1,2,1,2,2,6,14,199,4,0,50,3,0
50,50,0,0.4454170241417161,1,2,98,3,1,1,6,1,2,1,2,2,6,14,199,4,0,51,3,0
51,51,0,0.4511265085038055,1,2,98,7,1,1,1,1,2,1,49,2,1,12,195,4,94,52,3,0
52,52,0,0.4473854438589881,1,2,98,7,1,1,1,1,2,1,49,2,1,12,195,4,0,53,3,0
53,53,0,0.4276274227633381,1,3,98,5,1,1,6,1,9,1,1,2,7,12,193,4,48,54,3,0
54,54,0,0.4265442702066148,1,2,98,3,1,1,6,1,2,1,2,2,7,16,193,4,4,55,3,0
55,55,0,0.3497269153515719,1,1,5,2,1,1,2,1,1,1,49,1,6,14,192,7,22,56,3,0
56,56,0,0.4121770098922827,1,1,5,2,1,1,2,1,22,1,2,9,3,11,189,7,69,57,3,0
57,57,0,0.3876771200456198,1,2,98,3,1,1,6,1,2,1,2,2,3,11,189,7,0,58,3,0
58,58,0,0.4265442702066148,1,2,98,3,1,1,6,1,2,1,2,2,3,12,189,7,1,59,3,0
59,59,0,0.2589723745861205,1,2,98,3,1,1,6,1,2,1,2,2,2,9,187,7,44,60,3,0
60,60,0,0.5050105955937023,1,4,98,4,2,1,3,2,2,1,49,2,6,8,185,13,47,61,3,0
61,61,0,0.2589723745861205,1,2,98,3,1,1,4,1,2,1,2,2,3,9,182,13,73,62,3,0
62,62,0,0.4756538676902798,1,2,98,3,1,1,4,1,2,1,2,2,3,18,182,13,10,63,3,0
63,63,0,0.4502989033712352,1,1,5,2,1,1,2,1,19,1,49,13,2,15,180,13,45,64,3,0
64,64,0,0.3876771200456198,1,4,98,4,2,1,3,2,2,1,49,2,6,9,178,22,42,65,3,0
65,65,0,0.4707723832044416,1,2,98,3,1,1,4,1,2,1,2,2,6,9,178,22,0,66,3,0
66,66,0,0.434383198864982,1,2,98,3,1,1,4,1,2,1,2,2,6,9,178,22,0,67,3,0
67,67,0,0.2975890792412704,1,2,98,3,1,1,4,1,2,1,2,2,6,9,178,22,0,68,3,0
68,68,0,0.3751696795991723,1,2,98,3,1,1,4,1,2,1,2,2,6,9,178,22,0,69,3,0
69,69,0,0.3978518063523275,1,1,5,2,1,1,2,1,16,1,49,9,4,12,176,22,52,70,3,0
70,70,0,0.5466069627201818,1,2,98,3,1,1,4,1,2,1,2,2,3,18,175,22,30,71,3,0
71,71,0,0.3876675894044811,1,1,5,2,1,1,2,1,58,1,49,14,2,11,173,22,40,72,3,0
72,72,0,0.4104106563047363,1,2,5,3,1,1,4,1,2,1,2,2,2,12,173,22,1,73,3,0
73,73,0,0.3488379638169017,1,1,5,2,1,1,2,1,28,1,2,16,7,12,172,22,24,74,3,0
74,74,0,0.3466335527166719,1,1,5,2,1,1,2,1,10,1,49,7,6,19,171,10,31,75,3,0
75,75,0,0.3488379638169017,1,2,5,3,1,1,4,1,2,1,2,2,5,15,170,10,21,76,3,0
76,76,0,0.3754492014328238,1,1,5,2,1,1,2,1,1,1,49,1,5,19,170,10,3,77,3,0
77,77,0,0.5251613069337492,1,2,98,3,1,1,4,1,2,1,2,2,3,16,168,10,45,78,3,0
78,78,0,0.4265442702066148,1,2,5,3,1,1,4,1,2,1,2,2,3,16,168,10,0,79,3,0
79,79,0,0.3003135896921176,1,1,5,2,1,1,2,1,1,1,49,1,5,19,163,11,122,80,3,0
80,80,0,0.3363445046218684,1,2,98,3,1,1,4,1,2,1,2,2,2,18,159,11,96,81,3,0
81,81,0,0.3682442796089131,1,1,5,2,1,1,2,1,1,1,49,1,2,17,152,3,167,82,3,0
82,82,0,0.4625479048388615,1,2,98,3,1,1,4,1,2,1,2,2,7,7,151,3,14,83,3,0
83,83,0,0.2975052645997386,1,1,5,2,1,1,2,1,10,1,49,7,6,19,150,40,36,84,3,0
84,84,0,0.297421324580985,1,1,5,2,1,1,2,1,10,1,49,7,5,12,149,40,17,85,3,0
85,85,0,0.5109220915152267,1,2,5,3,1,1,4,1,2,1,2,2,1,17,146,40,78,86,3,0
86,86,0,0.4220504253879439,1,1,5,2,1,1,2,1,1,1,49,1,4,18,141,6,121,87,3,0
87,87,0,0.2465064522538901,1,1,5,2,1,1,2,1,8,1,49,1,4,18,141,6,0,88,3,0
88,88,0,0.2874921506554067,1,1,5,2,1,1,2,1,8,1,49,1,4,19,141,6,1,89,3,0
89,89,0,0.3016225964600465,1,1,5,2,1,1,2,1,8,1,49,1,4,20,141,6,1,90,3,0
90,90,0,0.3876771200456198,1,2,5,8,1,1,2,1,2,8,49,2,3,12,140,6,16,91,3,0
91,91,0,0.4473854438589881,1,2,98,3,1,1,4,1,2,1,2,2,7,14,137,6,73,92,3,0
92,92,0,0.388511749593196,1,1,5,2,1,1,2,1,1,1,49,1,7,14,137,6,1,93,3,0
93,93,0,0.3876771200456198,1,2,5,3,1,1,4,1,2,1,2,2,5,17,135,15,51,94,3,0
94,94,0,0.3987333159638436,1,1,5,2,1,1,2,1,16,1,49,9,5,19,135,15,2,95,3,0
95,95,0,0.3044150597826085,1,1,5,2,1,1,2,1,1,1,2,1,1,17,132,15,70,96,3,0
96,96,0,0.3590500655756334,1,3,5,5,1,1,4,1,9,1,1,2,1,17,132,15,1,97,3,0
97,97,0,0.3120314888953625,1,1,5,2,1,1,2,1,1,1,49,1,7,19,130,15,49,98,3,0
98,98,0,0.3840294460134343,1,1,5,2,1,1,2,1,1,1,49,1,6,12,129,5,17,99,3,0
99,99,0,0.3876771200456198,1,2,5,3,1,1,4,1,2,1,2,2,6,14,129,5,3,100,3,0
100,100,0,0.3067867631215234,1,1,5,2,1,1,2,1,8,1,49,1,6,16,129,5,1,101,3,0
101,101,0,0.4140298273446018,1,3,5,5,1,1,4,1,9,1,1,2,6,18,129,5,3,102,3,0
102,102,0,0.3856857821842215,1,1,5,2,1,1,2,1,1,1,49,1,2,12,124,5,114,103,3,0
103,103,0,0.3202481694450788,1,1,5,2,1,1,2,1,58,1,49,14,2,14,124,5,2,104,3,0
104,104,0,0.2323000561355586,1,1,5,2,1,1,2,1,8,1,49,1,2,15,124,5,0,105,3,0
105,105,0,0.244471888894537,1,1,5,2,1,1,2,1,1,1,49,1,2,17,124,5,3,106,3,0
106,106,0,0.3100255993802662,1,1,5,2,1,1,2,1,8,1,49,1,2,18,124,5,0,107,3,0
107,107,0,0.2465827175171037,1,1,5,2,1,1,2,1,8,1,49,1,7,16,123,5,22,108,3,0
108,108,0,0.3488379638169017,1,2,5,3,1,1,4,1,2,1,2,2,7,19,123,5,3,109,3,0
109,109,0,0.4707723832044416,1,2,98,3,1,1,4,1,2,1,2,2,6,14,122,37,20,110,3,0
110,110,0,0.434383198864982,1,2,98,3,1,1,4,1,2,1,2,2,6,14,122,37,0,111,3,0
111,111,0,0.4801444764689203,1,2,98,3,1,1,4,1,2,1,2,2,6,14,122,37,0,112,3,0
112,112,0,0.5395840117062823,1,3,98,10,1,1,1,2,11,1,1,8,4,16,120,37,50,113,3,0
113,113,0,0.4579344704497227,1,2,98,3,1,1,4,1,2,1,2,2,4,17,120,37,1,114,3,0
114,114,0,0.4720331392724817,1,3,98,10,1,1,1,2,11,1,1,8,3,18,119,37,26,115,3,0
115,115,0,0.3876771200456198,1,2,98,3,1,1,4,1,2,1,2,2,1,18,118,37,24,116,3,0
116,116,0,0.3930202487904465,1,2,98,3,1,1,4,1,2,1,2,2,7,12,116,37,42,117,3,0
117,117,0,0.3676867203808272,1,2,98,3,1,1,4,1,2,1,2,2,7,12,116,37,0,118,3,0
118,118,0,0.4681625712197987,1,2,98,3,1,1,4,1,2,1,2,2,7,12,116,37,0,119,3,0
119,119,0,0.3202481694450788,1,1,98,16,1,2,4,1,20,1,1,11,7,12,116,37,0,120,3,0
120,120,0,0.3590500655756334,1,2,98,3,1,1,4,1,2,1,2,2,5,11,114,23,47,121,3,0
121,121,0,0.3100546698811235,1,1,98,13,1,2,4,1,20,1,1,11,1,18,111,23,78,122,3,0
122,122,0,0.5053971610240802,1,3,98,5,1,1,4,1,9,1,1,2,1,19,111,23,2,123,3,0
123,123,0,0.3363445046218684,1,2,98,7,1,1,1,1,2,1,49,2,2,15,110,23,20,124,3,0
124,124,0,0.2826430147088755,1,1,98,1,1,1,1,1,4,1,49,3,5,12,107,9,69,125,3,0
125,125,0,0.313752974120234,1,1,98,1,1,1,1,1,1,1,49,1,5,12,107,9,0,126,3,0
126,126,0,0.3655658848225099,1,1,98,1,1,1,1,1,1,1,49,1,5,16,107,9,4,127,3,0
127,127,0,0.4511265085038055,1,2,98,3,1,1,4,1,2,1,2,2,5,16,107,9,0,128,3,0
128,128,0,0.434383198864982,1,2,98,3,1,1,4,1,2,1,2,2,5,16,107,9,0,129,3,0
129,129,0,0.3751696795991723,1,2,98,3,1,1,4,1,2,1,2,2,5,16,107,9,0,130,3,0
130,130,0,0.3488379638169017,1,2,98,7,1,1,1,1,2,1,49,2,3,11,105,9,42,131,3,0
131,131,0,0.3363445046218684,1,2,98,7,1,1,1,1,2,1,49,2,3,11,105,9,0,132,3,0
132,132,0,0.3590500655756334,1,1,98,13,1,2,4,1,20,1,1,11,7,13,102,9,74,133,3,0
133,133,0,0.3836091152684697,1,3,98,5,1,1,4,1,9,1,1,2,7,13,102,9,0,134,3,0
134,134,0,0.3202481694450788,1,2,98,7,1,1,1,1,2,1,49,2,6,12,101,14,23,135,3,0
135,135,0,0.3676867203808272,1,2,98,7,1,1,1,1,2,1,49,2,6,12,101,14,0,136,3,0
136,136,0,0.4276274227633381,1,3,98,5,1,1,4,1,9,1,1,2,4,11,99,14,47,137,3,0
137,137,0,0.4265442702066148,1,2,98,3,1,1,4,1,2,1,2,2,4,14,99,14,3,138,3,0
138,138,0,0.4390601144966334,1,2,98,3,1,1,4,1,2,1,2,2,5,9,93,12,139,139,3,0
139,139,0,0.4104106563047363,1,2,98,7,1,1,1,1,2,1,49,2,1,17,90,12,79,140,3,0
140,140,0,0.4365361697977657,1,1,5,2,1,1,2,1,63,1,49,9,7,12,88,12,44,141,3,0
141,141,0,0.5432052855231654,1,4,98,4,2,1,3,2,2,1,49,2,4,16,85,41,75,142,3,0
142,142,0,0.3751696795991723,1,2,98,3,1,1,4,1,2,1,2,2,4,16,85,41,0,143,3,0
143,143,0,0.5120056612106665,1,3,175,5,1,1,4,1,9,1,1,2,4,17,85,41,1,144,3,0
144,144,0,0.6071409931722804,1,2,98,3,1,1,4,1,2,1,2,2,3,16,84,41,22,145,3,0
145,145,0,0.4276274227633381,1,3,98,5,1,1,4,1,9,1,1,2,3,19,84,41,3,146,3,0
146,146,0,0.6093417768735059,1,2,98,3,1,1,4,1,2,1,2,2,6,11,80,16,89,147,3,0
147,147,0,0.3571509370418119,1,3,98,5,1,1,4,1,9,1,1,2,5,18,79,16,31,148,3,0
148,148,0,0.3488379638169017,1,4,98,4,2,1,3,2,2,1,49,2,3,10,77,16,41,149,3,0
149,149,0,0.3521013188440043,1,3,98,5,1,1,4,1,9,1,1,2,3,11,77,16,0,150,3,0
150,150,0,0.4265442702066148,1,4,98,4,2,1,3,2,2,1,49,2,2,14,54,49,555,151,3,0
151,151,0,0.2589723745861205,1,2,98,3,1,1,4,1,2,1,2,2,2,14,54,49,0,152,3,0
152,152,0,0.4265442702066148,1,3,98,6,2,1,4,2,9,1,1,2,2,16,54,49,2,153,3,0
153,153,0,0.4297594404325355,1,3,5,5,1,1,4,1,9,1,1,2,2,16,54,49,0,154,3,0
154,154,0,0.3645508663499955,1,1,5,2,1,1,2,1,1,1,49,1,7,12,53,49,20,155,3,0
155,155,0,0.3876771200456198,1,2,5,8,1,1,2,1,2,8,49,2,6,12,52,25,24,156,3,0
156,156,0,0.3551852757449896,1,1,5,13,1,2,4,1,20,1,1,11,6,15,52,25,3,157,3,0
157,157,0,0.24539941236027,1,1,5,2,1,1,2,1,8,1,49,1,4,16,50,25,49,158,3,0
158,158,0,0.2609322885070884,1,1,5,2,1,1,2,1,8,1,49,1,4,19,50,25,3,159,3,0
159,159,0,0.4206445437403254,1,3,5,5,1,1,4,1,9,1,1,2,1,15,48,25,44,160,3,0
160,160,0,0.3185447501857233,1,1,5,2,1,1,2,1,1,1,2,1,1,16,48,25,1,161,3,0
161,161,0,0.2699756215700116,1,1,5,2,1,1,2,1,8,1,49,1,1,18,48,25,2,162,3,0
162,162,0,0.3978985484558824,1,2,5,3,1,1,4,1,2,1,2,2,2,8,47,25,14,163,3,0
163,163,0,0.3676731105113007,1,1,5,2,1,1,2,1,58,1,49,14,2,8,47,25,0,164,3,0
164,164,0,0.4756538676902798,1,4,5,4,2,1,3,2,2,1,49,2,3,14,42,27,126,165,3,0
165,165,0,0.3694207145648981,1,1,5,2,1,1,2,1,1,1,49,1,3,12,35,26,166,166,3,0
166,166,0,0.3973822312934758,1,1,5,2,1,1,2,1,22,1,49,9,2,11,33,26,47,167,3,0
167,167,0,0.2584140227945348,1,1,5,2,1,1,2,1,3,1,49,4,7,16,32,26,29,168,3,0
168,168,0,0.488172983204992,1,4,98,4,2,1,3,2,2,1,49,2,2,15,26,45,143,169,3,0
169,169,0,0.470899741162138,1,1,98,1,1,1,1,1,1,1,49,1,2,13,19,47,166,170,3,0
170,170,0,0.4654254330729043,1,2,98,3,1,1,4,1,2,1,2,2,7,10,18,47,21,171,3,0
171,171,0,0.4654254330729043,1,2,98,3,1,1,4,1,2,1,2,2,7,10,18,47,0,172,3,0
172,172,0,0.3676867203808272,1,2,98,3,1,1,4,1,2,1,2,2,7,10,18,47,0,173,3,0
173,173,0,0.2916613788490693,1,1,5,2,1,1,2,1,8,1,2,1,6,20,17,30,34,174,3,0
174,174,0,0.2194963866667214,1,1,5,2,1,1,2,1,8,1,2,1,5,17,16,30,21,175,3,0
175,175,0,0.3536439226777594,1,1,5,2,1,1,2,1,1,1,2,1,5,20,16,30,3,176,3,0
176,176,0,0.341654552719239,1,1,5,2,1,1,2,1,1,1,2,1,5,23,16,30,3,177,3,0
177,177,0,0.3058789834693973,1,1,5,2,1,1,2,1,1,1,2,1,4,8,15,30,9,178,3,0
178,178,0,0.2505155751260463,1,1,5,2,1,1,2,1,8,1,2,1,4,13,15,30,6,179,3,0
179,179,0,0.2371103178353334,1,1,5,2,1,1,2,1,1,1,2,1,4,15,15,30,2,180,3,0
180,180,0,0.2572803702565362,1,1,5,2,1,1,2,1,1,1,2,1,3,7,14,30,16,181,3,0
181,181,1,0.3240743706369933,1,1,54,2,1,3,7,3,65,1,21,6,4,0,358,24,-1,1,1,0
182,182,1,0.4210561047766384,1,1,54,2,1,3,7,3,1,1,21,1,3,0,357,24,24,2,1,0
183,183,1,0.4832912862498381,1,2,54,3,1,3,7,3,2,1,37,2,3,19,357,24,19,3,1,0
184,184,1,0.429280740819794,1,2,54,3,1,3,7,3,2,1,37,2,7,21,354,24,74,4,1,0
185,185,1,0.3078221778001739,1,1,54,2,1,1,2,1,1,1,21,1,6,10,332,52,517,5,1,0
186,186,1,0.2768925377209436,1,1,54,2,1,1,2,1,3,1,21,4,5,20,331,52,34,6,1,0
187,187,1,0.3925596670631428,1,1,54,2,1,1,2,1,58,1,21,14,5,21,331,52,1,7,1,0
188,188,1,0.4654254330729043,1,2,54,3,1,1,6,1,2,1,21,2,2,17,327,52,92,8,1,0
189,189,1,0.1943002999248737,1,1,54,2,1,1,2,1,1,1,21,1,2,17,327,52,0,9,1,0
190,190,1,0.4492871471021893,1,2,54,3,1,1,6,1,2,1,21,2,7,15,326,52,22,10,1,0
191,191,1,0.4447114333028493,1,1,54,2,1,1,2,1,1,1,21,1,7,21,326,52,6,11,1,0
192,192,1,0.279841406657968,1,1,54,2,1,1,2,1,1,1,21,1,6,16,325,50,19,12,1,0
193,193,1,0.3202481694450788,1,2,54,8,1,1,2,1,2,24,21,2,5,18,324,50,26,13,1,0
194,194,1,0.2288064960511204,1,1,54,2,1,1,2,1,25,1,21,6,4,14,323,50,20,14,1,0
195,195,1,0.3876771200456198,1,1,54,2,1,1,2,1,7,1,21,5,3,9,322,50,19,15,1,0
196,196,1,0.2589723745861205,1,1,54,13,1,2,6,1,20,1,1,11,3,11,322,50,2,16,1,0
197,197,1,0.3488379638169017,1,1,54,2,1,2,2,1,42,1,2,11,3,20,322,50,10,17,1,0
198,198,1,0.3157877238016189,1,1,54,2,1,1,2,1,1,1,21,1,1,10,321,50,14,18,1,0
199,199,1,0.3235653301714316,1,1,54,2,1,1,2,1,4,1,21,3,1,14,321,50,4,19,1,0
200,200,1,0.3532932741685222,1,1,54,2,1,1,2,1,4,1,21,3,2,20,320,50,30,20,1,0
201,201,1,0.3063585923042387,1,1,54,2,1,1,2,1,1,1,21,1,2,21,320,50,1,21,1,0
202,202,1,0.3110517840316276,1,1,54,2,1,1,2,1,1,1,21,1,7,19,319,50,22,22,1,0
203,203,1,0.3115981748342657,1,1,54,2,1,1,2,1,1,1,21,1,7,22,319,50,2,23,1,0
204,204,1,0.3876771200456198,1,1,54,2,1,1,2,1,58,1,21,14,5,0,317,39,27,24,1,0
205,205,1,0.3488379638169017,1,2,54,3,1,1,6,1,2,1,21,2,5,15,317,39,14,25,1,0
206,206,1,0.4390601144966334,1,2,54,8,1,1,2,1,2,1,21,2,5,19,317,39,5,26,1,0
207,207,1,0.4215008834238133,1,1,54,2,1,1,2,1,1,1,21,1,5,21,317,39,2,27,1,0
208,208,1,0.3766900997358632,1,1,54,2,1,1,2,1,3,1,21,4,3,20,315,39,47,28,1,0
209,209,1,0.4023001330693287,1,1,54,2,1,1,2,1,35,1,21,9,3,21,315,39,0,29,1,0
210,210,1,0.3766218761504708,1,1,54,2,1,1,2,1,1,1,21,1,3,21,315,39,0,30,1,0
211,211,1,0.3876771200456198,1,1,54,2,1,1,2,1,7,1,21,5,2,20,313,39,48,31,1,0
212,212,1,0.3362744935184969,1,1,54,2,1,1,2,1,4,1,21,3,2,21,313,39,0,32,1,0
213,213,1,0.2975890792412704,1,1,54,13,1,2,6,1,20,1,1,11,6,23,311,42,50,33,1,0
214,214,1,0.3243800177471185,1,1,54,2,1,1,2,1,17,1,2,15,3,11,308,42,60,34,1,0
215,215,1,0.3109748629886393,1,1,54,2,1,1,2,1,17,1,2,15,3,11,308,42,0,35,1,0
216,216,1,0.4173633024419403,1,1,54,2,1,1,2,1,63,1,2,9,3,12,308,42,1,36,1,0
217,217,1,0.3589566202716521,1,1,54,2,1,1,2,1,15,1,2,5,3,14,308,42,2,37,1,0
218,218,1,0.3485617558548157,1,1,54,2,1,1,2,1,1,1,21,1,3,14,308,42,0,38,1,0
219,219,1,0.4689319936151985,1,1,54,2,1,1,2,1,35,1,21,9,3,17,308,42,2,39,1,0
220,220,1,0.2756681860503041,1,1,54,2,1,1,2,1,1,1,21,1,3,17,308,42,0,40,1,0
221,221,1,0.3876771200456198,1,1,54,2,1,1,2,1,7,1,21,5,1,16,307,42,23,41,1,0
222,222,1,0.3371089162109775,1,1,54,2,1,1,2,1,4,1,21,3,2,22,306,42,30,42,1,0
223,223,1,0.4579344704497227,1,2,54,3,1,1,6,1,2,1,21,2,7,20,305,42,22,43,1,0
224,224,1,0.4492871471021893,1,2,54,3,1,1,6,1,2,1,21,2,6,9,304,48,13,44,1,0
225,225,1,0.1908544227937093,1,1,54,2,1,1,2,1,10,1,21,7,4,11,302,48,51,45,1,0
226,226,1,0.2833670749752124,1,1,54,2,1,1,2,1,1,1,21,1,3,10,301,48,22,46,1,0
227,227,1,0.3265875054099569,1,1,54,2,1,1,2,1,3,1,21,4,3,13,301,48,3,47,1,0
228,228,1,0.2627326063506766,1,1,54,2,1,1,2,1,1,1,21,1,3,17,301,48,4,48,1,0
229,229,1,0.4397956795230949,1,1,54,2,1,1,2,1,1,1,21,1,3,19,301,48,3,49,1,0
230,230,1,0.3925596670631428,1,1,54,2,1,1,2,1,7,1,21,5,3,20,301,48,0,50,1,0
231,231,1,0.3454206776983122,1,1,54,2,1,1,2,1,4,1,21,3,6,21,297,46,98,51,1,0
232,232,1,0.3876771200456198,1,1,54,2,1,1,2,1,7,1,21,5,4,23,295,46,49,52,1,0
233,233,1,0.3488379638169017,1,1,54,2,1,2,2,1,42,1,2,11,3,9,294,46,10,53,1,0
234,234,1,0.4065418680066658,1,1,54,2,1,1,2,1,108,1,21,17,7,10,291,46,74,54,1,0
235,235,1,0.2792639000984634,1,1,54,2,1,1,2,1,3,1,21,4,7,10,291,46,0,55,1,0
236,236,1,0.4029443868979319,1,1,54,2,1,1,2,1,1,1,21,1,5,21,289,20,58,56,1,0
237,237,1,0.3510344826788876,1,1,54,2,1,1,2,1,5,1,21,4,1,14,286,20,66,57,1,0
238,238,1,0.3876771200456198,1,2,54,3,1,1,6,1,2,1,21,2,1,15,286,20,0,58,1,0
239,239,1,0.2837256314160953,1,1,54,2,1,1,2,1,1,1,21,1,1,17,286,20,2,59,1,0
240,240,1,0.3925596670631428,1,1,54,2,1,1,2,1,58,1,21,14,2,0,285,20,7,60,1,0
241,241,1,0.3702680234746799,1,1,54,2,1,1,2,1,1,1,21,1,2,21,285,20,21,61,1,0
242,242,1,0.2933123561063709,1,1,54,2,1,1,2,1,17,1,21,15,2,21,285,20,0,62,1,0
243,243,1,0.3110737421191992,1,1,54,2,1,1,2,1,1,1,21,1,7,17,284,20,20,63,1,0
244,244,1,0.3183522495095494,1,1,54,2,1,1,2,1,37,1,21,18,7,18,284,20,2,64,1,0
245,245,1,0.2589723745861205,1,1,54,13,1,2,6,1,20,1,1,11,6,9,283,36,14,65,1,0
246,246,1,0.3531482501836046,1,1,54,2,1,1,2,1,17,1,21,15,6,12,283,36,3,66,1,0
247,247,1,0.2490960537712024,1,1,54,2,1,1,2,1,1,1,21,1,6,14,283,36,2,67,1,0
248,248,1,0.3715431278174421,1,1,54,2,1,1,2,1,4,1,21,3,5,22,282,36,32,68,1,0
249,249,1,0.3409113114949054,1,1,54,2,1,1,2,1,3,1,21,4,4,19,281,36,22,69,1,0
